District,Murder,Negligence,Hurt,ASSAULT_ON_WOMEN,KIDNAPPING_AND_ABDUCTION,HUMAN_TRAFFICKING,Rape,OFFENCE_AGAINST_PUBLIC_TRANQUILITY,OFFENCES_AGAINST_PROPERTY,OFFENCES_RELATING_TO_DOCUMENTS_AND_PROPERTY_MARKS,Miscellaneous,Others,Total,Population,Crime_Rate,Sex_Ratio,Literacy,Density,Latitude,Longitude,Year
Ahmednagar,254,620,1826,543,369,0,92,905,3104,220,30535,221,38689,4543159,939,0.7905,266,19.0948287,74.7479789,0.851588069,2020
Akola,114,116,1345,245,76,0,28,111,946,86,4244,213,7524,1813906,946,0.8805,320,20.7002159,77.0081678,0.414795475,2020
Amravati,201,354,2133,461,190,0,97,144,2198,250,3921,164,10113,2888445,951,0.8738,237,20.9319821,77.7523039,0.350119182,2020
Aurangbad,139,386,1869,335,242,0,80,428,3821,265,4292,411,12268,3701282,923,0.7902,366,19.8761653,75.3433139,0.331452724,2020
Beed,206,308,1233,248,91,0,50,508,1002,104,1858,111,5719,2585049,916,0.7699,242,18.990088,75.7531324,0.221233717,2020
Bhandara,41,141,486,88,71,0,16,43,676,60,1051,54,2727,1200334,982,0.8376,294,21.177658,79.6570127,0.227186766,2020
Buldhana,122,293,2099,313,110,0,36,320,1269,102,3024,104,7792,2586258,934,0.834,268,20.5292147,76.1841701,0.301284713,2020
Chandrapur,105,234,1147,194,152,1,46,84,980,108,2235,355,5641,2204307,961,0.8001,193,19.9615398,79.2961468,0.255908093,2020
Dhule,84,352,433,80,98,1,14,205,781,77,1237,175,3537,2050862,946,0.728,285,20.9042201,74.7748979,0.172464066,2020
Gadchiroli,65,135,303,55,32,0,17,21,302,41,427,27,1425,1072942,982,0.7436,74,20.184871,79.9947956,0.132812398,2020
Gondia,50,131,311,57,40,0,18,23,400,30,996,134,2190,1322507,999,0.8495,253,21.4549477,80.1960712,0.165594587,2020
Hingoli,75,119,649,73,27,0,15,140,436,35,1314,30,2913,1177345,942,0.7817,244,19.7173703,77.1493722,0.247421104,2020
Jalgaon,192,439,901,259,187,0,34,440,2045,248,4353,256,9354,4229917,925,0.782,360,21.0076578,75.5626039,0.221139091,2020
Jalna,133,209,1436,208,100,0,36,411,1618,170,1164,770,6255,1959046,937,0.7152,254,19.8346659,75.8816345,0.319288062,2020
Kolhapur,146,313,1020,263,150,15,54,388,1357,222,5190,202,9320,3876001,957,0.8151,504,16.7049873,74.2432527,0.240454014,2020
Latur,104,244,1077,138,111,3,26,303,964,94,2000,82,5146,2454196,928,0.7726,343,18.4087934,76.5603828,0.209681704,2020
Mumbai,521,349,4171,1553,1180,58,331,392,17530,3425,19788,9146,58444,12442373,846,0.8956,20316,19.0759837,72.8776559,0.469717473,2020
Nagpur,299,581,2252,386,442,13,120,199,4980,568,9647,312,19799,4653570,951,0.8839,470,19.1538231,72.8751786,0.425458304,2020
Nanded,143,252,1778,232,127,1,40,307,1464,114,2970,86,7514,3361292,943,0.7545,319,21.1458004,79.0881546,0.223544994,2020
Nandurbar,62,133,255,44,57,0,17,116,429,38,2930,3053,7134,1648295,978,0.6438,277,19.1382514,77.3209555,0.432810874,2020
